0,96.8596454,35.9630116,18.85815
1,148.667867,62.4835963,18.8303781
2,175.511948,148.912015,5.1965392
3,107.669301,135.258034,10.1612903
4,50.9537034,16.461684,29.9797052
5,190.191351,12.4576556,23.0314035
6,143.436995,19.3670461,27.731254
7,13.2145146,113.55327,29.3195898
8,117.758721,28.8949248,9.05255287
9,185.381634,49.0615558,39.0514847
10,103.817866,110.147404,24.8312326
11,184.740745,153.843806,21.1236915
12,132.114628,14.0995514,14.8066652
13,150.3708,17.6580096,36.0051271
14,89.1323588,6.85445723,30.5970946
15,7.33664968,56.8865017,26.6107669
